timestamp,open,high,low,close,volume,quoteVolume
2025-08-22 10:00:00+00:00,113012.1,113027.3,112472.7,112486.7,2065.4848,232605714.79212
2025-08-22 11:00:00+00:00,112486.7,112587.3,112127,112276.2,2521.864,283159451.39938
2025-08-22 12:00:00+00:00,112276.2,112693.1,111631,112282.2,8713.5606,976643673.7142
2025-08-22 13:00:00+00:00,112282.2,112617.7,111885,112435.3,4569.3332,513405874.51056
2025-08-22 14:00:00+00:00,112435.3,116044.1,112423.8,115744.5,41186.5862,4721543567.28174
2025-08-22 15:00:00+00:00,115744.5,117247.6,115744.5,116306.3,11352.9304,1324500141.57268
2025-08-22 16:00:00+00:00,116306.3,116734.7,116074.4,116111.2,5339.1052,621408546.29832
2025-08-22 17:00:00+00:00,116111.2,116970.1,116111.2,116962.3,4976.0956,580610484.72048
2025-08-22 18:00:00+00:00,116962.3,117381.4,116686.3,116750.1,3507.6704,410599160.92244
2025-08-22 19:00:00+00:00,116750.1,116865,116463.4,116612.6,1041.9418,121557062.13036
2025-08-22 20:00:00+00:00,116612.6,117064.8,116530.3,117009.1,1617.471,189085188.85914
2025-08-22 21:00:00+00:00,117009.1,117134,116780,116981.8,1246.6426,145781092.02202
2025-08-22 22:00:00+00:00,116981.8,117006.5,116512.1,116714.2,1015.0022,118465471.98032
2025-08-22 23:00:00+00:00,116714.2,116900.9,116631,116900,687.453,80271566.17724
2025-08-23 00:00:00+00:00,116900,116984,116686.9,116823.7,899.7126,105138402.91976
2025-08-23 01:00:00+00:00,116823.7,116828.6,116238.2,116400.8,1802.9566,210005597.18606
2025-08-23 02:00:00+00:00,116400.8,116498.8,115450.1,115891.1,4502.1518,521782638.07062
2025-08-23 03:00:00+00:00,115891.1,116009.1,115427.7,115541.1,2012.515,232803147.30318
2025-08-23 04:00:00+00:00,115541.1,115937.5,115526.1,115896.6,1530.3846,177152867.788
2025-08-23 05:00:00+00:00,115896.6,116014,115767.7,115933.9,1192.9966,138312364.54164
2025-08-23 06:00:00+00:00,115933.9,115994.9,115655,115750,1436.1206,166330239.41788
